,Iteration,distance,best_run,states,best_score
744,744,4688,9124,10455,59
745,745,2992,9124,10455,59
746,746,1156,9124,10455,59
747,747,6756,9124,10455,59
748,748,6616,9124,10455,59
749,749,5136,9124,10455,59
750,750,4392,9124,10455,59
751,751,3360,9124,10455,59
752,752,7104,9124,10455,59
753,753,5872,9124,10455,59
754,754,4620,9124,10455,59
755,755,2616,9124,10455,59
756,756,2768,9124,10455,59
757,757,1452,9124,10457,59
758,758,2176,9124,10457,59
759,759,3064,9124,10457,59
760,760,2768,9124,10457,59
761,761,2472,9124,10457,59
762,762,1136,9124,10457,59
763,763,992,9124,10457,59
764,764,2320,9124,10457,59
765,765,1724,9124,10457,59
766,766,1324,9124,10457,59
767,767,3952,9124,10465,59
768,768,2908,9124,10465,59
769,769,4388,9124,10465,59
770,770,4248,9124,10465,59
771,771,6760,9124,10465,59
772,772,3360,9124,10465,59
773,773,3064,9124,10465,59
774,774,1928,9124,10465,59
775,775,1288,9124,10465,59
776,776,2692,9124,10465,59
777,777,2472,9124,10465,59
778,778,2024,9124,10465,59
779,779,2468,9124,10465,59
780,780,3208,9124,10465,59
781,781,2912,9124,10465,59
782,782,2192,9124,10465,59
783,783,1584,9124,10466,59
784,784,1880,9124,10466,59
785,785,1288,9124,10466,59
786,786,1584,9124,10473,59
787,787,1880,9124,10473,59
788,788,3796,9124,10473,59
789,789,8092,9124,10474,59
790,790,1136,9124,10474,59
791,791,1432,9124,10474,59
792,792,1000,9124,10474,59
793,793,1148,9124,10474,59
794,794,1432,9124,10474,59
795,795,1064,9124,10474,59
796,796,1876,9124,10474,59
797,797,2176,9124,10474,59
798,798,2912,9124,10474,59
799,799,2468,9124,10474,59
800,800,2548,9124,10474,59
801,801,2024,9124,10474,59
802,802,1584,9124,10475,59
803,803,1140,9124,10475,59
804,804,7700,9124,10475,59
805,805,2176,9124,10475,59
806,806,1432,9124,10475,59
807,807,2320,9124,10475,59
808,808,4096,9124,10475,59
809,809,1876,9124,10475,59
810,810,2616,9124,10475,59
811,811,1288,9124,10475,59
812,812,11696,9124,10475,59
813,813,3360,11696,10475,77
814,814,2020,11696,10475,77
815,815,3360,11696,10475,77
816,816,3064,11696,10477,77
817,817,2612,11696,10477,77
818,818,2988,11696,10477,77
819,819,1584,11696,10480,77
820,820,6400,11696,10480,77
821,821,6316,11696,10480,77
822,822,6316,11696,10480,77
823,823,6464,11696,10480,77
824,824,7832,11696,10480,77
825,825,2912,11696,10480,77
826,826,1584,11696,10480,77
827,827,1584,11696,10480,77
828,828,1432,11696,10480,77
829,829,2512,11696,10481,77
830,830,2472,11696,10496,77
831,831,4096,11696,10496,77
832,832,4388,11696,10497,77
833,833,2992,11696,10497,77
834,834,3208,11696,10497,77
835,835,992,11696,10516,77
836,836,1584,11696,10517,77
837,837,3356,11696,10517,77
838,838,2224,11696,10517,77
839,839,2616,11696,10517,77
840,840,3440,11696,10517,77
841,841,2176,11696,10517,77
842,842,2768,11696,10519,77
843,843,1136,11696,10519,77
844,844,1584,11696,10519,77
845,845,1028,11696,10519,77
846,846,4004,11696,10519,77
847,847,3980,11696,10519,77
848,848,2964,11696,10519,77
849,849,3504,11696,10519,77
850,850,3532,11696,10519,77
851,851,1620,11696,10519,77
852,852,2024,11696,10519,77
853,853,1432,11696,10519,77
854,854,1504,11696,10519,77
