,Iteration,distance,best_run,states,best_score
561,561,1580,11792,8099,77
562,562,2768,11792,8099,77
563,563,2188,11792,8099,77
564,564,2844,11792,8099,77
565,565,2912,11792,8099,77
566,566,3064,11792,8101,77
567,567,1728,11792,8104,77
568,568,1728,11792,8104,77
569,569,3284,11792,8104,77
570,570,2020,11792,8107,77
571,571,1880,11792,8107,77
572,572,2176,11792,8108,77
573,573,1288,11792,8108,77
574,574,2472,11792,8108,77
575,575,2616,11792,8108,77
576,576,3660,11792,8108,77
577,577,5808,11792,8108,77
578,578,2320,11792,8108,77
579,579,1584,11792,8112,77
580,580,1880,11792,8112,77
581,581,1728,11792,8118,77
582,582,8176,11792,8119,77
583,583,4684,11792,8119,77
584,584,2328,11792,8119,77
585,585,2024,11792,8125,77
586,586,1724,11792,8125,77
587,587,1880,11792,8126,77
588,588,4544,11792,8126,77
589,589,3552,11792,8126,77
590,590,1880,11792,8128,77
591,591,1432,11792,8144,77
592,592,2320,11792,8145,77
593,593,2320,11792,8145,77
594,594,6320,11792,8145,77
595,595,1880,11792,8146,77
596,596,2616,11792,8149,77
597,597,2180,11792,8149,77
598,598,1732,11792,8149,77
599,599,2024,11792,8150,77
